full_date,date_key,day,month,quarter,year,month_name,day_name,is_weekend
2023-04-06,73,6,4,2,2023,April,Thursday,False
2023-04-07,74,7,4,2,2023,April,Friday,False
2023-04-10,75,10,4,2,2023,April,Monday,False
2023-04-11,76,11,4,2,2023,April,Tuesday,False
2023-04-12,77,12,4,2,2023,April,Wednesday,False
2023-04-13,78,13,4,2,2023,April,Thursday,False
2023-04-15,79,15,4,2,2023,April,Saturday,True
2023-04-16,80,16,4,2,2023,April,Sunday,True
2023-04-17,81,17,4,2,2023,April,Monday,False
2023-04-18,82,18,4,2,2023,April,Tuesday,False
2023-04-19,83,19,4,2,2023,April,Wednesday,False
2023-04-20,84,20,4,2,2023,April,Thursday,False
2023-04-21,85,21,4,2,2023,April,Friday,False
2023-04-22,86,22,4,2,2023,April,Saturday,True
2023-04-23,87,23,4,2,2023,April,Sunday,True
2023-04-25,88,25,4,2,2023,April,Tuesday,False
2023-04-27,89,27,4,2,2023,April,Thursday,False
2023-04-28,90,28,4,2,2023,April,Friday,False
2023-04-29,91,29,4,2,2023,April,Saturday,True
2023-05-02,92,2,5,2,2023,May,Tuesday,False
2023-05-03,93,3,5,2,2023,May,Wednesday,False
2023-05-04,94,4,5,2,2023,May,Thursday,False
2023-05-05,95,5,5,2,2023,May,Friday,False
2023-05-08,96,8,5,2,2023,May,Monday,False
2023-05-09,97,9,5,2,2023,May,Tuesday,False
2023-05-10,98,10,5,2,2023,May,Wednesday,False
2023-05-11,99,11,5,2,2023,May,Thursday,False
2023-05-12,100,12,5,2,2023,May,Friday,False
2023-05-14,101,14,5,2,2023,May,Sunday,True
2023-05-15,102,15,5,2,2023,May,Monday,False
2023-05-16,103,16,5,2,2023,May,Tuesday,False
2023-05-17,104,17,5,2,2023,May,Wednesday,False
2023-05-18,105,18,5,2,2023,May,Thursday,False
2023-05-19,106,19,5,2,2023,May,Friday,False
2023-05-22,107,22,5,2,2023,May,Monday,False
2023-05-23,108,23,5,2,2023,May,Tuesday,False
2023-05-24,109,24,5,2,2023,May,Wednesday,False
2023-05-26,110,26,5,2,2023,May,Friday,False
2023-05-27,111,27,5,2,2023,May,Saturday,True
2023-05-31,112,31,5,2,2023,May,Wednesday,False
2023-06-01,113,1,6,2,2023,June,Thursday,False
2023-06-02,114,2,6,2,2023,June,Friday,False
2023-06-04,115,4,6,2,2023,June,Sunday,True
2023-06-05,116,5,6,2,2023,June,Monday,False
2023-06-06,117,6,6,2,2023,June,Tuesday,False
2023-06-08,118,8,6,2,2023,June,Thursday,False
2023-06-09,119,9,6,2,2023,June,Friday,False
2023-06-10,120,10,6,2,2023,June,Saturday,True
2023-06-11,121,11,6,2,2023,June,Sunday,True
2023-06-12,122,12,6,2,2023,June,Monday,False
2023-06-13,123,13,6,2,2023,June,Tuesday,False
2023-06-14,124,14,6,2,2023,June,Wednesday,False
2023-06-15,125,15,6,2,2023,June,Thursday,False
2023-06-16,126,16,6,2,2023,June,Friday,False
2023-06-17,127,17,6,2,2023,June,Saturday,True
2023-06-18,128,18,6,2,2023,June,Sunday,True
2023-06-19,129,19,6,2,2023,June,Monday,False
2023-06-20,130,20,6,2,2023,June,Tuesday,False
2023-06-21,131,21,6,2,2023,June,Wednesday,False
2023-06-23,132,23,6,2,2023,June,Friday,False
2023-06-25,133,25,6,2,2023,June,Sunday,True
2023-06-27,134,27,6,2,2023,June,Tuesday,False
2023-06-28,135,28,6,2,2023,June,Wednesday,False
2023-06-29,136,29,6,2,2023,June,Thursday,False
2023-06-30,137,30,6,2,2023,June,Friday,False
2023-07-01,138,1,7,3,2023,July,Saturday,True
2023-07-02,139,2,7,3,2023,July,Sunday,True
2023-07-03,140,3,7,3,2023,July,Monday,False
2023-07-05,141,5,7,3,2023,July,Wednesday,False
2023-07-06,142,6,7,3,2023,July,Thursday,False
2023-07-07,143,7,7,3,2023,July,Friday,False
2023-07-08,144,8,7,3,2023,July,Saturday,True
2023-07-09,145,9,7,3,2023,July,Sunday,True
2023-07-10,146,10,7,3,2023,July,Monday,False
2023-07-14,147,14,7,3,2023,July,Friday,False
2023-07-15,148,15,7,3,2023,July,Saturday,True
2023-07-16,149,16,7,3,2023,July,Sunday,True
2023-07-17,150,17,7,3,2023,July,Monday,False
2023-07-18,151,18,7,3,2023,July,Tuesday,False
2023-07-19,152,19,7,3,2023,July,Wednesday,False
2023-07-21,153,21,7,3,2023,July,Friday,False
2023-07-22,154,22,7,3,2023,July,Saturday,True
2023-07-23,155,23,7,3,2023,July,Sunday,True
2023-07-24,156,24,7,3,2023,July,Monday,False
2023-07-25,157,25,7,3,2023,July,Tuesday,False
2023-07-28,158,28,7,3,2023,July,Friday,False
2023-07-29,159,29,7,3,2023,July,Saturday,True
2023-07-31,160,31,7,3,2023,July,Monday,False
2023-08-01,161,1,8,3,2023,August,Tuesday,False
2023-08-04,162,4,8,3,2023,August,Friday,False
2023-08-05,163,5,8,3,2023,August,Saturday,True
2023-08-06,164,6,8,3,2023,August,Sunday,True
2023-08-07,165,7,8,3,2023,August,Monday,False
2023-08-08,166,8,8,3,2023,August,Tuesday,False
2023-08-10,167,10,8,3,2023,August,Thursday,False
2023-08-11,168,11,8,3,2023,August,Friday,False
2023-08-12,169,12,8,3,2023,August,Saturday,True
2023-08-13,170,13,8,3,2023,August,Sunday,True
2023-08-14,171,14,8,3,2023,August,Monday,False
2023-08-15,172,15,8,3,2023,August,Tuesday,False
2023-08-16,173,16,8,3,2023,August,Wednesday,False
2023-08-17,174,17,8,3,2023,August,Thursday,False
2023-08-18,175,18,8,3,2023,August,Friday,False
2023-08-19,176,19,8,3,2023,August,Saturday,True
2023-08-20,177,20,8,3,2023,August,Sunday,True
2023-08-21,178,21,8,3,2023,August,Monday,False
2023-08-22,179,22,8,3,2023,August,Tuesday,False
2023-08-23,180,23,8,3,2023,August,Wednesday,False
2023-08-24,181,24,8,3,2023,August,Thursday,False
2023-08-25,182,25,8,3,2023,August,Friday,False
2023-08-26,183,26,8,3,2023,August,Saturday,True
2023-08-28,184,28,8,3,2023,August,Monday,False
2023-08-29,185,29,8,3,2023,August,Tuesday,False
2023-08-31,186,31,8,3,2023,August,Thursday,False
2023-09-01,187,1,9,3,2023,September,Friday,False
2023-09-02,188,2,9,3,2023,September,Saturday,True
2023-09-03,189,3,9,3,2023,September,Sunday,True
2023-09-04,190,4,9,3,2023,September,Monday,False
2023-09-05,191,5,9,3,2023,September,Tuesday,False
2023-09-06,192,6,9,3,2023,September,Wednesday,False
2023-09-07,193,7,9,3,2023,September,Thursday,False
2023-09-08,194,8,9,3,2023,September,Friday,False
2023-09-09,195,9,9,3,2023,September,Saturday,True
2023-09-10,196,10,9,3,2023,September,Sunday,True
2023-09-11,197,11,9,3,2023,September,Monday,False
2023-09-12,198,12,9,3,2023,September,Tuesday,False
2023-09-13,199,13,9,3,2023,September,Wednesday,False
2023-09-14,200,14,9,3,2023,September,Thursday,False
2023-09-15,201,15,9,3,2023,September,Friday,False
2023-09-16,202,16,9,3,2023,September,Saturday,True
2023-09-18,203,18,9,3,2023,September,Monday,False
2023-09-20,204,20,9,3,2023,September,Wednesday,False
2023-09-22,205,22,9,3,2023,September,Friday,False
2023-09-23,206,23,9,3,2023,September,Saturday,True
2023-09-24,207,24,9,3,2023,September,Sunday,True
2023-09-25,208,25,9,3,2023,September,Monday,False
2023-09-26,209,26,9,3,2023,September,Tuesday,False
2023-09-27,210,27,9,3,2023,September,Wednesday,False
2023-09-28,211,28,9,3,2023,September,Thursday,False
2023-09-29,212,29,9,3,2023,September,Friday,False
2023-09-30,213,30,9,3,2023,September,Saturday,True
2023-10-01,214,1,10,4,2023,October,Sunday,True
2023-10-02,215,2,10,4,2023,October,Monday,False
2023-10-03,216,3,10,4,2023,October,Tuesday,False
2023-10-04,217,4,10,4,2023,October,Wednesday,False
2023-10-05,218,5,10,4,2023,October,Thursday,False
2023-10-06,219,6,10,4,2023,October,Friday,False
2023-10-07,220,7,10,4,2023,October,Saturday,True
2023-10-08,221,8,10,4,2023,October,Sunday,True
2023-10-09,222,9,10,4,2023,October,Monday,False
2023-10-10,223,10,10,4,2023,October,Tuesday,False
2023-10-11,224,11,10,4,2023,October,Wednesday,False
2023-10-12,225,12,10,4,2023,October,Thursday,False
2023-10-13,226,13,10,4,2023,October,Friday,False
2023-10-14,227,14,10,4,2023,October,Saturday,True
2023-10-16,228,16,10,4,2023,October,Monday,False
2023-10-17,229,17,10,4,2023,October,Tuesday,False
2023-10-18,230,18,10,4,2023,October,Wednesday,False
2023-10-19,231,19,10,4,2023,October,Thursday,False
2023-10-20,232,20,10,4,2023,October,Friday,False
2023-10-21,233,21,10,4,2023,October,Saturday,True
2023-10-23,234,23,10,4,2023,October,Monday,False
2023-10-26,235,26,10,4,2023,October,Thursday,False
2023-10-27,236,27,10,4,2023,October,Friday,False
2023-10-28,237,28,10,4,2023,October,Saturday,True
2023-10-29,238,29,10,4,2023,October,Sunday,True
2023-10-30,239,30,10,4,2023,October,Monday,False
2023-10-31,240,31,10,4,2023,October,Tuesday,False
2023-11-01,241,1,11,4,2023,November,Wednesday,False
2023-11-02,242,2,11,4,2023,November,Thursday,False
2023-11-03,243,3,11,4,2023,November,Friday,False
2023-11-04,244,4,11,4,2023,November,Saturday,True
2023-11-05,245,5,11,4,2023,November,Sunday,True
2023-11-06,246,6,11,4,2023,November,Monday,False
2023-11-08,247,8,11,4,2023,November,Wednesday,False
2023-11-09,248,9,11,4,2023,November,Thursday,False
2023-11-10,249,10,11,4,2023,November,Friday,False
2023-11-11,250,11,11,4,2023,November,Saturday,True
2023-11-12,251,12,11,4,2023,November,Sunday,True
2023-11-13,252,13,11,4,2023,November,Monday,False
2023-11-14,253,14,11,4,2023,November,Tuesday,False
2023-11-15,254,15,11,4,2023,November,Wednesday,False
2023-11-16,255,16,11,4,2023,November,Thursday,False
2023-11-18,256,18,11,4,2023,November,Saturday,True
2023-11-19,257,19,11,4,2023,November,Sunday,True
2023-11-20,258,20,11,4,2023,November,Monday,False
2023-11-21,259,21,11,4,2023,November,Tuesday,False
2023-11-24,260,24,11,4,2023,November,Friday,False
2023-11-25,261,25,11,4,2023,November,Saturday,True
2023-11-26,262,26,11,4,2023,November,Sunday,True
2023-11-27,263,27,11,4,2023,November,Monday,False
2023-11-28,264,28,11,4,2023,November,Tuesday,False
2023-11-29,265,29,11,4,2023,November,Wednesday,False
2023-12-01,266,1,12,4,2023,December,Friday,False
2023-12-02,267,2,12,4,2023,December,Saturday,True
2023-12-03,268,3,12,4,2023,December,Sunday,True
2023-12-04,269,4,12,4,2023,December,Monday,False
2023-12-05,270,5,12,4,2023,December,Tuesday,False
2023-12-06,271,6,12,4,2023,December,Wednesday,False
2023-12-07,272,7,12,4,2023,December,Thursday,False
2023-12-08,273,8,12,4,2023,December,Friday,False
2023-12-10,274,10,12,4,2023,December,Sunday,True
2023-12-11,275,11,12,4,2023,December,Monday,False
2023-12-12,276,12,12,4,2023,December,Tuesday,False
2023-12-13,277,13,12,4,2023,December,Wednesday,False
2023-12-14,278,14,12,4,2023,December,Thursday,False
2023-12-15,279,15,12,4,2023,December,Friday,False
2023-12-16,280,16,12,4,2023,December,Saturday,True
2023-12-18,281,18,12,4,2023,December,Monday,False
2023-12-19,282,19,12,4,2023,December,Tuesday,False
2023-12-20,283,20,12,4,2023,December,Wednesday,False
2023-12-22,284,22,12,4,2023,December,Friday,False
2023-12-23,285,23,12,4,2023,December,Saturday,True
2023-12-24,286,24,12,4,2023,December,Sunday,True
2023-12-25,287,25,12,4,2023,December,Monday,False
2023-12-26,288,26,12,4,2023,December,Tuesday,False
2023-12-27,289,27,12,4,2023,December,Wednesday,False
2023-12-29,290,29,12,4,2023,December,Friday,False
2023-12-30,291,30,12,4,2023,December,Saturday,True
2024-01-02,292,2,1,1,2024,January,Tuesday,False
2024-01-05,293,5,1,1,2024,January,Friday,False
2024-01-06,294,6,1,1,2024,January,Saturday,True
2024-01-07,295,7,1,1,2024,January,Sunday,True
2024-01-08,296,8,1,1,2024,January,Monday,False
2024-01-09,297,9,1,1,2024,January,Tuesday,False
2024-01-13,298,13,1,1,2024,January,Saturday,True
2024-01-14,299,14,1,1,2024,January,Sunday,True
2024-01-15,300,15,1,1,2024,January,Monday,False
2024-01-18,301,18,1,1,2024,January,Thursday,False
2024-01-20,302,20,1,1,2024,January,Saturday,True
2024-01-24,303,24,1,1,2024,January,Wednesday,False
2024-01-25,304,25,1,1,2024,January,Thursday,False
2024-01-26,305,26,1,1,2024,January,Friday,False
2024-01-27,306,27,1,1,2024,January,Saturday,True
2024-01-28,307,28,1,1,2024,January,Sunday,True
2024-01-29,308,29,1,1,2024,January,Monday,False
2024-01-30,309,30,1,1,2024,January,Tuesday,False
2024-02-03,310,3,2,1,2024,February,Saturday,True
2024-02-04,311,4,2,1,2024,February,Sunday,True
2024-02-08,312,8,2,1,2024,February,Thursday,False
2024-02-10,313,10,2,1,2024,February,Saturday,True
2024-02-11,314,11,2,1,2024,February,Sunday,True
2024-02-13,315,13,2,1,2024,February,Tuesday,False
2024-02-14,316,14,2,1,2024,February,Wednesday,False
2024-02-15,317,15,2,1,2024,February,Thursday,False
2024-02-17,318,17,2,1,2024,February,Saturday,True
2024-02-18,319,18,2,1,2024,February,Sunday,True
2024-02-19,320,19,2,1,2024,February,Monday,False
2024-02-20,321,20,2,1,2024,February,Tuesday,False
2024-02-21,322,21,2,1,2024,February,Wednesday,False
2024-02-22,323,22,2,1,2024,February,Thursday,False
2024-02-23,324,23,2,1,2024,February,Friday,False
2024-02-25,325,25,2,1,2024,February,Sunday,True
2024-02-26,326,26,2,1,2024,February,Monday,False
2024-02-27,327,27,2,1,2024,February,Tuesday,False
2024-02-29,328,29,2,1,2024,February,Thursday,False
2024-03-01,329,1,3,1,2024,March,Friday,False
2024-03-02,330,2,3,1,2024,March,Saturday,True
2024-03-05,331,5,3,1,2024,March,Tuesday,False
2024-03-06,332,6,3,1,2024,March,Wednesday,False
2024-03-07,333,7,3,1,2024,March,Thursday,False
2024-03-08,334,8,3,1,2024,March,Friday,False
2024-03-09,335,9,3,1,2024,March,Saturday,True
2024-03-11,336,11,3,1,2024,March,Monday,False
2024-03-12,337,12,3,1,2024,March,Tuesday,False
2024-03-13,338,13,3,1,2024,March,Wednesday,False
2024-03-14,339,14,3,1,2024,March,Thursday,False
2024-03-15,340,15,3,1,2024,March,Friday,False
2024-03-16,341,16,3,1,2024,March,Saturday,True
2024-03-17,342,17,3,1,2024,March,Sunday,True
2024-03-18,343,18,3,1,2024,March,Monday,False
2024-03-19,344,19,3,1,2024,March,Tuesday,False
2024-03-20,345,20,3,1,2024,March,Wednesday,False
2024-03-21,346,21,3,1,2024,March,Thursday,False
2024-03-22,347,22,3,1,2024,March,Friday,False
2024-03-24,348,24,3,1,2024,March,Sunday,True
2024-03-25,349,25,3,1,2024,March,Monday,False
2024-03-26,350,26,3,1,2024,March,Tuesday,False
2024-03-27,351,27,3,1,2024,March,Wednesday,False
2024-03-28,352,28,3,1,2024,March,Thursday,False
2024-03-29,353,29,3,1,2024,March,Friday,False
2024-04-01,354,1,4,2,2024,April,Monday,False
2024-04-03,355,3,4,2,2024,April,Wednesday,False
2024-04-04,356,4,4,2,2024,April,Thursday,False
2024-04-05,357,5,4,2,2024,April,Friday,False
2024-04-06,358,6,4,2,2024,April,Saturday,True
2024-04-07,359,7,4,2,2024,April,Sunday,True
2024-04-09,360,9,4,2,2024,April,Tuesday,False
2024-04-10,361,10,4,2,2024,April,Wednesday,False
2024-04-11,362,11,4,2,2024,April,Thursday,False
2024-04-12,363,12,4,2,2024,April,Friday,False
2024-04-13,364,13,4,2,2024,April,Saturday,True
2024-04-14,365,14,4,2,2024,April,Sunday,True
2024-04-15,366,15,4,2,2024,April,Monday,False
2024-04-16,367,16,4,2,2024,April,Tuesday,False
2024-04-17,368,17,4,2,2024,April,Wednesday,False
2024-04-18,369,18,4,2,2024,April,Thursday,False
2024-04-20,370,20,4,2,2024,April,Saturday,True
2024-04-21,371,21,4,2,2024,April,Sunday,True
2024-04-22,372,22,4,2,2024,April,Monday,False
2024-04-23,373,23,4,2,2024,April,Tuesday,False
2024-04-24,374,24,4,2,2024,April,Wednesday,False
2024-04-25,375,25,4,2,2024,April,Thursday,False
2024-04-26,376,26,4,2,2024,April,Friday,False
2024-04-29,377,29,4,2,2024,April,Monday,False
2024-05-01,378,1,5,2,2024,May,Wednesday,False
2024-05-02,379,2,5,2,2024,May,Thursday,False
2024-05-03,380,3,5,2,2024,May,Friday,False
2024-05-04,381,4,5,2,2024,May,Saturday,True
2024-05-05,382,5,5,2,2024,May,Sunday,True
2024-05-07,383,7,5,2,2024,May,Tuesday,False
2024-05-10,384,10,5,2,2024,May,Friday,False
2024-05-11,385,11,5,2,2024,May,Saturday,True
2024-05-12,386,12,5,2,2024,May,Sunday,True
2024-05-13,387,13,5,2,2024,May,Monday,False
2024-05-14,388,14,5,2,2024,May,Tuesday,False
2024-05-15,389,15,5,2,2024,May,Wednesday,False
2024-05-16,390,16,5,2,2024,May,Thursday,False
2024-05-17,391,17,5,2,2024,May,Friday,False
2024-05-18,392,18,5,2,2024,May,Saturday,True
2024-05-20,393,20,5,2,2024,May,Monday,False
2024-05-21,394,21,5,2,2024,May,Tuesday,False
2024-05-22,395,22,5,2,2024,May,Wednesday,False
2024-05-26,396,26,5,2,2024,May,Sunday,True
2024-05-27,397,27,5,2,2024,May,Monday,False
2024-05-29,398,29,5,2,2024,May,Wednesday,False
2024-05-31,399,31,5,2,2024,May,Friday,False
2024-06-01,400,1,6,2,2024,June,Saturday,True
2024-06-02,401,2,6,2,2024,June,Sunday,True
2024-06-03,402,3,6,2,2024,June,Monday,False
2024-06-04,403,4,6,2,2024,June,Tuesday,False
2024-06-05,404,5,6,2,2024,June,Wednesday,False
2024-06-07,405,7,6,2,2024,June,Friday,False
2024-06-10,406,10,6,2,2024,June,Monday,False
2024-06-11,407,11,6,2,2024,June,Tuesday,False
2024-06-13,408,13,6,2,2024,June,Thursday,False
2024-06-14,409,14,6,2,2024,June,Friday,False
2024-06-15,410,15,6,2,2024,June,Saturday,True
2024-06-16,411,16,6,2,2024,June,Sunday,True
2024-06-17,412,17,6,2,2024,June,Monday,False
2024-06-18,413,18,6,2,2024,June,Tuesday,False
2024-06-19,414,19,6,2,2024,June,Wednesday,False
2024-06-21,415,21,6,2,2024,June,Friday,False
2024-06-24,416,24,6,2,2024,June,Monday,False
2024-06-25,417,25,6,2,2024,June,Tuesday,False
2024-06-27,418,27,6,2,2024,June,Thursday,False
2024-06-29,419,29,6,2,2024,June,Saturday,True
2024-06-30,420,30,6,2,2024,June,Sunday,True
2024-07-02,421,2,7,3,2024,July,Tuesday,False
2024-07-03,422,3,7,3,2024,July,Wednesday,False
2024-07-04,423,4,7,3,2024,July,Thursday,False
2024-07-05,424,5,7,3,2024,July,Friday,False
2024-07-06,425,6,7,3,2024,July,Saturday,True
2024-07-07,426,7,7,3,2024,July,Sunday,True
2024-07-09,427,9,7,3,2024,July,Tuesday,False
2024-07-10,428,10,7,3,2024,July,Wednesday,False
2024-07-11,429,11,7,3,2024,July,Thursday,False
2024-07-12,430,12,7,3,2024,July,Friday,False
2024-07-13,431,13,7,3,2024,July,Saturday,True
2024-07-15,432,15,7,3,2024,July,Monday,False
2024-07-16,433,16,7,3,2024,July,Tuesday,False
2024-07-17,434,17,7,3,2024,July,Wednesday,False
2024-07-18,435,18,7,3,2024,July,Thursday,False
2024-07-19,436,19,7,3,2024,July,Friday,False
2024-07-20,437,20,7,3,2024,July,Saturday,True
2024-07-21,438,21,7,3,2024,July,Sunday,True
2024-07-22,439,22,7,3,2024,July,Monday,False
2024-07-23,440,23,7,3,2024,July,Tuesday,False
2024-07-24,441,24,7,3,2024,July,Wednesday,False
2024-07-25,442,25,7,3,2024,July,Thursday,False
2024-07-26,443,26,7,3,2024,July,Friday,False
2024-07-27,444,27,7,3,2024,July,Saturday,True
2024-07-28,445,28,7,3,2024,July,Sunday,True
2024-07-30,446,30,7,3,2024,July,Tuesday,False
2024-07-31,447,31,7,3,2024,July,Wednesday,False
2024-08-01,448,1,8,3,2024,August,Thursday,False
2024-08-02,449,2,8,3,2024,August,Friday,False
2024-08-03,450,3,8,3,2024,August,Saturday,True
2024-08-05,451,5,8,3,2024,August,Monday,False
2024-08-06,452,6,8,3,2024,August,Tuesday,False
2024-08-07,453,7,8,3,2024,August,Wednesday,False
2024-08-10,454,10,8,3,2024,August,Saturday,True
2024-08-12,455,12,8,3,2024,August,Monday,False
2024-08-13,456,13,8,3,2024,August,Tuesday,False
2024-08-15,457,15,8,3,2024,August,Thursday,False
2024-08-16,458,16,8,3,2024,August,Friday,False
2024-08-17,459,17,8,3,2024,August,Saturday,True
2024-08-18,460,18,8,3,2024,August,Sunday,True
2024-08-19,461,19,8,3,2024,August,Monday,False
2024-08-20,462,20,8,3,2024,August,Tuesday,False
2024-08-21,463,21,8,3,2024,August,Wednesday,False
2024-08-22,464,22,8,3,2024,August,Thursday,False
2024-08-24,465,24,8,3,2024,August,Saturday,True
2024-08-25,466,25,8,3,2024,August,Sunday,True
2024-08-26,467,26,8,3,2024,August,Monday,False
2024-08-29,468,29,8,3,2024,August,Thursday,False
2024-08-31,469,31,8,3,2024,August,Saturday,True
2024-09-01,470,1,9,3,2024,September,Sunday,True
2024-09-02,471,2,9,3,2024,September,Monday,False
2024-09-03,472,3,9,3,2024,September,Tuesday,False
2024-09-04,473,4,9,3,2024,September,Wednesday,False
2024-09-05,474,5,9,3,2024,September,Thursday,False
2024-09-06,475,6,9,3,2024,September,Friday,False
2024-09-09,476,9,9,3,2024,September,Monday,False
2024-09-10,477,10,9,3,2024,September,Tuesday,False
2024-09-11,478,11,9,3,2024,September,Wednesday,False
2024-09-12,479,12,9,3,2024,September,Thursday,False
2024-09-13,480,13,9,3,2024,September,Friday,False
2024-09-15,481,15,9,3,2024,September,Sunday,True
2024-09-16,482,16,9,3,2024,September,Monday,False
2024-09-17,483,17,9,3,2024,September,Tuesday,False
2024-09-18,484,18,9,3,2024,September,Wednesday,False
2024-09-19,485,19,9,3,2024,September,Thursday,False
2024-09-22,486,22,9,3,2024,September,Sunday,True
2024-09-25,487,25,9,3,2024,September,Wednesday,False
2024-09-26,488,26,9,3,2024,September,Thursday,False
2024-09-27,489,27,9,3,2024,September,Friday,False
2024-09-28,490,28,9,3,2024,September,Saturday,True
2024-09-29,491,29,9,3,2024,September,Sunday,True
2024-09-30,492,30,9,3,2024,September,Monday,False
2024-10-02,493,2,10,4,2024,October,Wednesday,False
2024-10-03,494,3,10,4,2024,October,Thursday,False
2024-10-04,495,4,10,4,2024,October,Friday,False
2024-10-06,496,6,10,4,2024,October,Sunday,True
2024-10-08,497,8,10,4,2024,October,Tuesday,False
2024-10-10,498,10,10,4,2024,October,Thursday,False
2024-10-11,499,11,10,4,2024,October,Friday,False
2024-10-12,500,12,10,4,2024,October,Saturday,True
2024-10-14,501,14,10,4,2024,October,Monday,False
2024-10-15,502,15,10,4,2024,October,Tuesday,False
2024-10-16,503,16,10,4,2024,October,Wednesday,False
2024-10-17,504,17,10,4,2024,October,Thursday,False
2024-10-18,505,18,10,4,2024,October,Friday,False
2024-10-20,506,20,10,4,2024,October,Sunday,True
2024-10-22,507,22,10,4,2024,October,Tuesday,False
2024-10-23,508,23,10,4,2024,October,Wednesday,False
2024-10-25,509,25,10,4,2024,October,Friday,False
2024-10-27,510,27,10,4,2024,October,Sunday,True
2024-10-28,511,28,10,4,2024,October,Monday,False
2024-10-29,512,29,10,4,2024,October,Tuesday,False
2024-10-31,513,31,10,4,2024,October,Thursday,False
2024-11-01,514,1,11,4,2024,November,Friday,False
2024-11-02,515,2,11,4,2024,November,Saturday,True
2024-11-04,516,4,11,4,2024,November,Monday,False
